class,filename,path,url,data_origin,retrieved_date,issuing_authority,PDF_or_text
Circulers,MF BL066 1985 10 02 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL066 1985 10 02 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL067 1985 12 31 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL067 1985 12 31 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL067B 1986 02 10 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL067B 1986 02 10 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL069 1986 01 18 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL069 1986 01 18 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL070 1986 07 16 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL070 1986 07 16 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL070 1986 07 16.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL070 1986 07 16.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL071 1986 08 28 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL071 1986 08 28 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL071 1986 08 28.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL071 1986 08 28.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL072 1986 09 09 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL072 1986 09 09 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL072A.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL072A.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL073 1986 09 30 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL073 1986 09 30 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL074 1987 04 10.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL074 1987 04 10.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL075 1983 07 03 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL075 1983 07 03 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL075 1987 07 03.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL075 1987 07 03.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL076 1987 08 12 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL076 1987 08 12 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL076 1987 08 12.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL076 1987 08 12.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL077 1987 09 17 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL077 1987 09 17 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL077 1987 09 17.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL077 1987 09 17.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL078 1987 12 01 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL078 1987 12 01 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL079 1988 08 08 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL079 1988 08 08 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL080 1988 09 14 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL080 1988 09 14 S.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL081 1988 10 14 S.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL081 1988 10 14 S.pdf,,original_dataset,,Tea Board Circulers,
